Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
99,0.36485,0.38192,0.3965,0.41184,0.42796,0.44633,0.4682,0.49142,0.51607,0.54221,0.56994,0.5993,0.63041,0.66335,0.69819,0.73503,0.77395,0.81502,0.85832,0.90392,0.95174,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Preferred Select and Ultimate Table - Male Smoker. Basis: Age Last Birthday. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0012,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00144,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00195,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00232,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00255,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00283,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00315,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00378,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00404,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00425,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00454,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00494,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00545,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00607,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00682,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00771,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00868,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00969,,,,,,,,,,,,,,,,,,,,,,,,
57,0.01066,,,,,,,,,,,,,,,,,,,,,,,,
58,0.01161,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01266,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01386,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01532,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01701,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01881,,,,,,,,,,,,,,,,,,,,,,,,
64,0.02062,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02239,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02411,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02583,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0276,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02955,,,,,,,,,,,,,,,,,,,,,,,,
70,0.03178,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03453,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03771,,,,,,,,,,,,,,,,,,,,,,,,
73,0.04092,,,,,,,,,,,,,,,,,,,,,,,,
74,0.0444,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04857,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0535,,,,,,,,,,,,,,,,,,,,,,,,
77,0.05921,,,,,,,,,,,,,,,,,,,,,,,,
78,0.06579,,,,,,,,,,,,,,,,,,,,,,,,
79,0.07312,,,,,,,,,,,,,,,,,,,,,,,,
80,0.08121,,,,,,,,,,,,,,,,,,,,,,,,
81,0.08993,,,,,,,,,,,,,,,,,,,,,,,,
82,0.09904,,,,,,,,,,,,,,,,,,,,,,,,
83,0.10889,,,,,,,,,,,,,,,,,,,,,,,,
84,0.12008,,,,,,,,,,,,,,,,,,,,,,,,
85,0.13284,,,,,,,,,,,,,,,,,,,,,,,,
86,0.14682,,,,,,,,,,,,,,,,,,,,,,,,
87,0.16187,,,,,,,,,,,,,,,,,,,,,,,,
88,0.1778,,,,,,,,,,,,,,,,,,,,,,,,
89,0.19441,,,,,,,,,,,,,,,,,,,,,,,,
90,0.21082,,,,,,,,,,,,,,,,,,,,,,,,
91,0.22683,,,,,,,,,,,,,,,,,,,,,,,,
92,0.24347,,,,,,,,,,,,,,,,,,,,,,,,
93,0.26087,,,,,,,,,,,,,,,,,,,,,,,,
94,0.27955,,,,,,,,,,,,,,,,,,,,,,,,
95,0.29739,,,,,,,,,,,,,,,,,,,,,,,,
96,0.31293,,,,,,,,,,,,,,,,,,,,,,,,
97,0.32931,,,,,,,,,,,,,,,,,,,,,,,,
98,0.3466,,,,,,,,,,,,,,,,,,,,,,,,
99,0.36485,,,,,,,,,,,,,,,,,,,,,,,,
100,0.38192,,,,,,,,,,,,,,,,,,,,,,,,
101,0.39651,,,,,,,,,,,,,,,,,,,,,,,,
102,0.41185,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42796,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44633,,,,,,,,,,,,,,,,,,,,,,,,
105,0.4682,,,,,,,,,,,,,,,,,,,,,,,,
106,0.49142,,,,,,,,,,,,,,,,,,,,,,,,
107,0.51607,,,,,,,,,,,,,,,,,,,,,,,,
108,0.54221,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56994,,,,,,,,,,,,,,,,,,,,,,,,
110,0.5993,,,,,,,,,,,,,,,,,,,,,,,,
111,0.63041,,,,,,,,,,,,,,,,,,,,,,,,
112,0.66335,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69819,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73503,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77395,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81502,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85832,,,,,,,,,,,,,,,,,,,,,,,,
118,0.90392,,,,,,,,,,,,,,,,,,,,,,,,
119,0.95174,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
