Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
38,0.00046,0.00060,0.00072,0.00086,0.00102,0.00120,0.00140,0.00164,0.00191,0.00222,0.00258,0.00299,0.00346,0.00400,0.00462
39,0.00047,0.00064,0.00078,0.00094,0.00112,0.00132,0.00155,0.00181,0.00212,0.00247,0.00287,0.00333,0.00385,0.00445,0.00514
40,0.00050,0.00069,0.00085,0.00103,0.00122,0.00145,0.00171,0.00200,0.00235,0.00274,0.00319,0.00370,0.00428,0.00495,0.00571
41,0.00054,0.00074,0.00093,0.00112,0.00135,0.00160,0.00189,0.00222,0.00260,0.00304,0.00354,0.00411,0.00476,0.00551,0.00635
42,0.00058,0.00081,0.00101,0.00124,0.00148,0.00177,0.00209,0.00246,0.00289,0.00338,0.00394,0.00457,0.00530,0.00612,0.00706
43,0.00063,0.00088,0.00111,0.00136,0.00164,0.00196,0.00232,0.00274,0.00321,0.00375,0.00437,0.00508,0.00588,0.00680,0.00784
44,0.00068,0.00097,0.00122,0.00150,0.00181,0.00217,0.00257,0.00304,0.00357,0.00417,0.00486,0.00564,0.00654,0.00755,0.00870
45,0.00074,0.00106,0.00135,0.00166,0.00201,0.00240,0.00285,0.00337,0.00396,0.00463,0.00540,0.00627,0.00726,0.00838,0.00965
46,0.00081,0.00117,0.00149,0.00183,0.00222,0.00266,0.00317,0.00374,0.00439,0.00514,0.00599,0.00695,0.00805,0.00929,0.01070
47,0.00089,0.00129,0.00164,0.00203,0.00246,0.00295,0.00351,0.00415,0.00488,0.00570,0.00664,0.00771,0.00892,0.01030,0.01185
48,0.00097,0.00142,0.00181,0.00224,0.00273,0.00327,0.00390,0.00460,0.00541,0.00632,0.00737,0.00855,0.00989,0.01141,0.01312
49,0.00106,0.00156,0.00200,0.00248,0.00302,0.00363,0.00432,0.00510,0.00599,0.00701,0.00816,0.00947,0.01095,0.01262,0.01452
50,0.00117,0.00172,0.00221,0.00275,0.00334,0.00402,0.00478,0.00565,0.00664,0.00776,0.00904,0.01048,0.01211,0.01396,0.01605
51,0.00128,0.00190,0.00244,0.00304,0.00370,0.00445,0.00530,0.00626,0.00735,0.00859,0.01000,0.01159,0.01340,0.01543,0.01774
52,0.00140,0.00209,0.00270,0.00336,0.00409,0.00492,0.00586,0.00692,0.00813,0.00950,0.01106,0.01281,0.01480,0.01705,0.01958
53,0.00153,0.00230,0.00298,0.00371,0.00452,0.00544,0.00648,0.00766,0.00899,0.01050,0.01222,0.01416,0.01635,0.01882,0.02161
54,0.00168,0.00254,0.00328,0.00409,0.00499,0.00601,0.00716,0.00846,0.00993,0.01160,0.01349,0.01563,0.01804,0.02076,0.02383
55,0.00183,0.00279,0.00362,0.00452,0.00551,0.00664,0.00791,0.00934,0.01097,0.01281,0.01489,0.01724,0.01990,0.02289,0.02627
56,0.00201,0.00307,0.00399,0.00498,0.00608,0.00732,0.00872,0.01031,0.01210,0.01413,0.01642,0.01901,0.02193,0.02523,0.02894
57,0.00219,0.00337,0.00439,0.00549,0.00670,0.00807,0.00962,0.01137,0.01334,0.01558,0.01810,0.02095,0.02416,0.02779,0.03186
58,0.00239,0.00370,0.00483,0.00604,0.00739,0.00890,0.01060,0.01253,0.01470,0.01716,0.01994,0.02307,0.02661,0.03060,0.03507
59,0.00260,0.00406,0.00530,0.00664,0.00813,0.00980,0.01168,0.01380,0.01619,0.01889,0.02195,0.02540,0.02930,0.03367,0.03857
60,0.00284,0.00445,0.00583,0.00731,0.00894,0.01078,0.01285,0.01518,0.01782,0.02079,0.02416,0.02797,0.03224,0.03703,0.04240
61,0.00309,0.00487,0.00639,0.00803,0.00983,0.01186,0.01413,0.01670,0.01960,0.02289,0.02661,0.03078,0.03546,0.04071,0.04658
62,0.00335,0.00533,0.00701,0.00881,0.01080,0.01303,0.01553,0.01836,0.02157,0.02520,0.02928,0.03386,0.03898,0.04473,0.05114
63,0.00364,0.00582,0.00768,0.00967,0.01186,0.01431,0.01707,0.02020,0.02375,0.02773,0.03220,0.03722,0.04283,0.04911,0.05613
64,0.00395,0.00636,0.00841,0.01060,0.01301,0.01571,0.01877,0.02224,0.02613,0.03050,0.03540,0.04089,0.04703,0.05389,0.06156
65,0.00428,0.00695,0.00921,0.01161,0.01427,0.01727,0.02067,0.02448,0.02874,0.03353,0.03889,0.04490,0.05161,0.05911,0.06748
66,0.00463,0.00758,0.01007,0.01272,0.01568,0.01902,0.02275,0.02692,0.03160,0.03684,0.04270,0.04927,0.05661,0.06480,0.07393
67,0.00500,0.00826,0.01100,0.01397,0.01726,0.02093,0.02502,0.02959,0.03471,0.04045,0.04686,0.05404,0.06205,0.07099,0.08095
68,0.00540,0.00900,0.01207,0.01538,0.01900,0.02302,0.02750,0.03251,0.03812,0.04439,0.05140,0.05924,0.06798,0.07773,0.08858
69,0.00583,0.00986,0.01329,0.01692,0.02090,0.02530,0.03021,0.03570,0.04183,0.04869,0.05635,0.06490,0.07443,0.08505,0.09687
70,0.00636,0.01086,0.01463,0.01861,0.02297,0.02780,0.03317,0.03917,0.04588,0.05337,0.06173,0.07106,0.08145,0.09301,0.10586
71,0.00700,0.01195,0.01609,0.02046,0.02524,0.03052,0.03641,0.04297,0.05029,0.05847,0.06759,0.07775,0.08907,0.10165,0.11562
72,0.00770,0.01314,0.01768,0.02248,0.02771,0.03350,0.03993,0.04710,0.05510,0.06402,0.07396,0.08503,0.09734,0.11102,0.12618
73,0.00847,0.01444,0.01943,0.02468,0.03041,0.03674,0.04377,0.05160,0.06033,0.07005,0.08088,0.09293,0.10631,0.12116,0.13761
74,0.00931,0.01587,0.02133,0.02709,0.03336,0.04027,0.04795,0.05650,0.06601,0.07661,0.08839,0.10149,0.11602,0.13213,0.14996
75,0.01023,0.01742,0.02341,0.02971,0.03656,0.04412,0.05250,0.06182,0.07219,0.08372,0.09654,0.11076,0.12653,0.14399,0.16328
76,0.01123,0.01912,0.02568,0.03257,0.04006,0.04831,0.05745,0.06761,0.07889,0.09143,0.10536,0.12079,0.13788,0.15678,0.17762
77,0.01233,0.02097,0.02815,0.03568,0.04386,0.05286,0.06283,0.07389,0.08616,0.09979,0.11490,0.13163,0.15013,0.17055,0.19305
78,0.01352,0.02299,0.03084,0.03906,0.04799,0.05781,0.06866,0.08069,0.09404,0.10883,0.12521,0.14332,0.16332,0.18537,0.20961
79,0.01482,0.02519,0.03377,0.04275,0.05248,0.06318,0.07499,0.08807,0.10255,0.11859,0.13633,0.15592,0.17751,0.20127,0.22736
80,0.01624,0.02758,0.03695,0.04675,0.05736,0.06900,0.08184,0.09604,0.11175,0.12912,0.14831,0.16946,0.19274,0.21831,0.24633

Table # ,2,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Male. Basis: Age Last Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 104,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",104,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00059,,,,,,,,,,,,,,
16,0.00071,,,,,,,,,,,,,,
17,0.00082,,,,,,,,,,,,,,
18,0.00090,,,,,,,,,,,,,,
19,0.00096,,,,,,,,,,,,,,
20,0.00098,,,,,,,,,,,,,,
21,0.00099,,,,,,,,,,,,,,
22,0.00097,,,,,,,,,,,,,,
23,0.00096,,,,,,,,,,,,,,
24,0.00096,,,,,,,,,,,,,,
25,0.00097,,,,,,,,,,,,,,
26,0.00099,,,,,,,,,,,,,,
27,0.00102,,,,,,,,,,,,,,
28,0.00104,,,,,,,,,,,,,,
29,0.00107,,,,,,,,,,,,,,
30,0.00111,,,,,,,,,,,,,,
31,0.00116,,,,,,,,,,,,,,
32,0.00121,,,,,,,,,,,,,,
33,0.00125,,,,,,,,,,,,,,
34,0.00126,,,,,,,,,,,,,,
35,0.00125,,,,,,,,,,,,,,
36,0.00125,,,,,,,,,,,,,,
37,0.00125,,,,,,,,,,,,,,
38,0.00128,,,,,,,,,,,,,,
39,0.00134,,,,,,,,,,,,,,
40,0.00143,,,,,,,,,,,,,,
41,0.00156,,,,,,,,,,,,,,
42,0.00170,,,,,,,,,,,,,,
43,0.00187,,,,,,,,,,,,,,
44,0.00206,,,,,,,,,,,,,,
45,0.00228,,,,,,,,,,,,,,
46,0.00252,,,,,,,,,,,,,,
47,0.00280,,,,,,,,,,,,,,
48,0.00311,,,,,,,,,,,,,,
49,0.00346,,,,,,,,,,,,,,
50,0.00385,,,,,,,,,,,,,,
51,0.00429,,,,,,,,,,,,,,
52,0.00478,,,,,,,,,,,,,,
53,0.00531,,,,,,,,,,,,,,
54,0.00591,,,,,,,,,,,,,,
55,0.00658,,,,,,,,,,,,,,
56,0.00731,,,,,,,,,,,,,,
57,0.00812,,,,,,,,,,,,,,
58,0.00902,,,,,,,,,,,,,,
59,0.01000,,,,,,,,,,,,,,
60,0.01109,,,,,,,,,,,,,,
61,0.01229,,,,,,,,,,,,,,
62,0.01361,,,,,,,,,,,,,,
63,0.01506,,,,,,,,,,,,,,
64,0.01666,,,,,,,,,,,,,,
65,0.01841,,,,,,,,,,,,,,
66,0.02033,,,,,,,,,,,,,,
67,0.02244,,,,,,,,,,,,,,
68,0.02475,,,,,,,,,,,,,,
69,0.02729,,,,,,,,,,,,,,
70,0.03007,,,,,,,,,,,,,,
71,0.03311,,,,,,,,,,,,,,
72,0.03643,,,,,,,,,,,,,,
73,0.04007,,,,,,,,,,,,,,
74,0.04405,,,,,,,,,,,,,,
75,0.04839,,,,,,,,,,,,,,
76,0.05314,,,,,,,,,,,,,,
77,0.05831,,,,,,,,,,,,,,
78,0.06396,,,,,,,,,,,,,,
79,0.07011,,,,,,,,,,,,,,
80,0.07681,,,,,,,,,,,,,,
81,0.08410,,,,,,,,,,,,,,
82,0.09203,,,,,,,,,,,,,,
83,0.10064,,,,,,,,,,,,,,
84,0.10999,,,,,,,,,,,,,,
85,0.12012,,,,,,,,,,,,,,
86,0.13110,,,,,,,,,,,,,,
87,0.14297,,,,,,,,,,,,,,
88,0.15580,,,,,,,,,,,,,,
89,0.16964,,,,,,,,,,,,,,
90,0.18454,,,,,,,,,,,,,,
91,0.20058,,,,,,,,,,,,,,
92,0.21778,,,,,,,,,,,,,,
93,0.23622,,,,,,,,,,,,,,
94,0.25593,,,,,,,,,,,,,,
95,0.27694,,,,,,,,,,,,,,
96,0.29929,,,,,,,,,,,,,,
97,0.32300,,,,,,,,,,,,,,
98,0.34807,,,,,,,,,,,,,,
99,0.37557,,,,,,,,,,,,,,
100,0.41200,,,,,,,,,,,,,,
101,0.46932,,,,,,,,,,,,,,
102,0.56117,,,,,,,,,,,,,,
103,0.70394,,,,,,,,,,,,,,
104,1.00000,,,,,,,,,,,,,,
