Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valaution Basic Table (VBT) Preferred Select and Ultimate Table - Male Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00188,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00205,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00227,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00255,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00289,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0038,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00432,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00482,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00534,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00591,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00657,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00739,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00835,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00939,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01048,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0116,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01273,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01391,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01515,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01654,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01817,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02018,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02254,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02501,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02766,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03073,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03443,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03878,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04387,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04963,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05614,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0633,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07097,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07943,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08893,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0996,,,,,,,,,,,,,,,,,,,,,,,,
86,0.11145,,,,,,,,,,,,,,,,,,,,,,,,
87,0.1244,,,,,,,,,,,,,,,,,,,,,,,,
88,0.13832,,,,,,,,,,,,,,,,,,,,,,,,
89,0.15309,,,,,,,,,,,,,,,,,,,,,,,,
90,0.16795,,,,,,,,,,,,,,,,,,,,,,,,
91,0.18277,,,,,,,,,,,,,,,,,,,,,,,,
92,0.19842,,,,,,,,,,,,,,,,,,,,,,,,
93,0.21504,,,,,,,,,,,,,,,,,,,,,,,,
94,0.23268,,,,,,,,,,,,,,,,,,,,,,,,
95,0.24916,,,,,,,,,,,,,,,,,,,,,,,,
96,0.26379,,,,,,,,,,,,,,,,,,,,,,,,
97,0.27925,,,,,,,,,,,,,,,,,,,,,,,,
98,0.29562,,,,,,,,,,,,,,,,,,,,,,,,
99,0.31292,,,,,,,,,,,,,,,,,,,,,,,,
100,0.33122,,,,,,,,,,,,,,,,,,,,,,,,
101,0.35058,,,,,,,,,,,,,,,,,,,,,,,,
102,0.37104,,,,,,,,,,,,,,,,,,,,,,,,
103,0.39266,,,,,,,,,,,,,,,,,,,,,,,,
104,0.41541,,,,,,,,,,,,,,,,,,,,,,,,
105,0.43927,,,,,,,,,,,,,,,,,,,,,,,,
106,0.46447,,,,,,,,,,,,,,,,,,,,,,,,
107,0.4911,,,,,,,,,,,,,,,,,,,,,,,,
108,0.51922,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54891,,,,,,,,,,,,,,,,,,,,,,,,
110,0.58025,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61333,,,,,,,,,,,,,,,,,,,,,,,,
112,0.64821,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68501,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72378,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76463,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80762,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85281,,,,,,,,,,,,,,,,,,,,,,,,
118,0.90028,,,,,,,,,,,,,,,,,,,,,,,,
119,0.94993,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
