Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
45,0.00065,0.00093,0.00114,0.00136,0.00159,0.00183,0.00210,0.00241,0.00274,0.00311,0.00353,0.00400,0.00453,0.00512,0.00579
46,0.00070,0.00100,0.00123,0.00147,0.00171,0.00198,0.00228,0.00261,0.00298,0.00339,0.00385,0.00437,0.00495,0.00561,0.00635
47,0.00075,0.00108,0.00133,0.00158,0.00185,0.00215,0.00248,0.00284,0.00325,0.00370,0.00421,0.00478,0.00543,0.00615,0.00697
48,0.00081,0.00116,0.00144,0.00171,0.00201,0.00233,0.00269,0.00309,0.00354,0.00404,0.00460,0.00524,0.00595,0.00676,0.00767
49,0.00087,0.00126,0.00155,0.00185,0.00218,0.00254,0.00293,0.00337,0.00387,0.00442,0.00504,0.00574,0.00654,0.00743,0.00844
50,0.00093,0.00136,0.00168,0.00201,0.00237,0.00276,0.00320,0.00368,0.00423,0.00484,0.00553,0.00631,0.00719,0.00818,0.00930
51,0.00101,0.00147,0.00182,0.00219,0.00258,0.00301,0.00349,0.00403,0.00463,0.00531,0.00607,0.00693,0.00791,0.00901,0.01026
52,0.00109,0.00159,0.00198,0.00238,0.00281,0.00329,0.00382,0.00441,0.00507,0.00582,0.00667,0.00763,0.00871,0.00994,0.01132
53,0.00118,0.00173,0.00215,0.00259,0.00307,0.00359,0.00418,0.00483,0.00557,0.00640,0.00734,0.00840,0.00961,0.01097,0.01251
54,0.00127,0.00187,0.00234,0.00282,0.00335,0.00393,0.00458,0.00530,0.00612,0.00704,0.00808,0.00926,0.01060,0.01212,0.01383
55,0.00138,0.00204,0.00255,0.00308,0.00366,0.00430,0.00502,0.00582,0.00673,0.00775,0.00891,0.01022,0.01171,0.01340,0.01531
56,0.00150,0.00222,0.00278,0.00337,0.00401,0.00472,0.00551,0.00640,0.00741,0.00855,0.00983,0.01129,0.01295,0.01482,0.01695
57,0.00163,0.00242,0.00304,0.00369,0.00440,0.00518,0.00606,0.00705,0.00817,0.00943,0.01086,0.01248,0.01432,0.01641,0.01878
58,0.00177,0.00264,0.00333,0.00405,0.00483,0.00570,0.00667,0.00777,0.00901,0.01041,0.01200,0.01381,0.01586,0.01818,0.02082
59,0.00193,0.00289,0.00365,0.00444,0.00531,0.00627,0.00735,0.00857,0.00995,0.01151,0.01328,0.01529,0.01757,0.02016,0.02309
60,0.00210,0.00316,0.00400,0.00488,0.00584,0.00690,0.00810,0.00946,0.01099,0.01272,0.01470,0.01694,0.01948,0.02236,0.02562
61,0.00230,0.00347,0.00439,0.00536,0.00643,0.00761,0.00894,0.01045,0.01215,0.01409,0.01628,0.01878,0.02160,0.02481,0.02844
62,0.00251,0.00380,0.00482,0.00590,0.00708,0.00840,0.00988,0.01155,0.01345,0.01561,0.01805,0.02083,0.02397,0.02754,0.03158
63,0.00274,0.00417,0.00531,0.00650,0.00781,0.00927,0.01092,0.01278,0.01490,0.01730,0.02002,0.02311,0.02661,0.03058,0.03508
64,0.00301,0.00459,0.00584,0.00717,0.00862,0.01024,0.01208,0.01416,0.01652,0.01919,0.02222,0.02565,0.02955,0.03396,0.03897
65,0.00330,0.00505,0.00644,0.00791,0.00952,0.01134,0.01339,0.01570,0.01832,0.02129,0.02466,0.02848,0.03282,0.03773,0.04330
66,0.00362,0.00556,0.00710,0.00873,0.01053,0.01256,0.01484,0.01742,0.02033,0.02364,0.02739,0.03164,0.03646,0.04192,0.04811
67,0.00397,0.00612,0.00783,0.00966,0.01167,0.01392,0.01646,0.01932,0.02257,0.02625,0.03042,0.03515,0.04051,0.04658,0.05346
68,0.00436,0.00675,0.00866,0.01070,0.01294,0.01544,0.01826,0.02145,0.02506,0.02915,0.03379,0.03905,0.04501,0.05177,0.05941
69,0.00480,0.00746,0.00960,0.01186,0.01435,0.01714,0.02027,0.02382,0.02784,0.03239,0.03755,0.04339,0.05002,0.05752,0.06601
70,0.00530,0.00827,0.01064,0.01316,0.01593,0.01902,0.02251,0.02646,0.03092,0.03598,0.04172,0.04822,0.05558,0.06391,0.07333
71,0.00587,0.00916,0.01180,0.01460,0.01768,0.02112,0.02501,0.02939,0.03436,0.03999,0.04636,0.05358,0.06176,0.07100,0.08145
72,0.00651,0.01016,0.01310,0.01620,0.01963,0.02346,0.02778,0.03266,0.03818,0.04443,0.05152,0.05954,0.06861,0.07886,0.09044
73,0.00722,0.01128,0.01454,0.01799,0.02180,0.02607,0.03087,0.03629,0.04243,0.04937,0.05724,0.06614,0.07620,0.08757,0.10038
74,0.00801,0.01252,0.01614,0.01999,0.02422,0.02896,0.03430,0.04032,0.04714,0.05486,0.06359,0.07346,0.08461,0.09719,0.11137
75,0.00889,0.01390,0.01793,0.02220,0.02691,0.03218,0.03811,0.04481,0.05238,0.06095,0.07063,0.08157,0.09391,0.10783,0.12349
76,0.00987,0.01544,0.01992,0.02467,0.02991,0.03576,0.04235,0.04979,0.05819,0.06769,0.07842,0.09054,0.10419,0.11956,0.13684
77,0.01096,0.01715,0.02213,0.02741,0.03323,0.03974,0.04706,0.05531,0.06463,0.07516,0.08704,0.10044,0.11553,0.13249,0.15152
78,0.01218,0.01906,0.02459,0.03046,0.03693,0.04415,0.05228,0.06143,0.07176,0.08342,0.09657,0.11137,0.12802,0.14671,0.16764
79,0.01353,0.02118,0.02733,0.03385,0.04103,0.04905,0.05806,0.06821,0.07965,0.09255,0.10708,0.12342,0.14176,0.16232,0.18530
80,0.01504,0.02353,0.03037,0.03761,0.04558,0.05448,0.06447,0.07571,0.08837,0.10263,0.11866,0.13666,0.15684,0.17941,0.20459

Table # ,2,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Female. Basis: Age Last Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 104,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",104,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00027,,,,,,,,,,,,,,
16,0.00030,,,,,,,,,,,,,,
17,0.00032,,,,,,,,,,,,,,
18,0.00034,,,,,,,,,,,,,,
19,0.00036,,,,,,,,,,,,,,
20,0.00038,,,,,,,,,,,,,,
21,0.00037,,,,,,,,,,,,,,
22,0.00036,,,,,,,,,,,,,,
23,0.00035,,,,,,,,,,,,,,
24,0.00033,,,,,,,,,,,,,,
25,0.00034,,,,,,,,,,,,,,
26,0.00038,,,,,,,,,,,,,,
27,0.00043,,,,,,,,,,,,,,
28,0.00049,,,,,,,,,,,,,,
29,0.00054,,,,,,,,,,,,,,
30,0.00057,,,,,,,,,,,,,,
31,0.00059,,,,,,,,,,,,,,
32,0.00062,,,,,,,,,,,,,,
33,0.00065,,,,,,,,,,,,,,
