Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Smoker. Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00153,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00179,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00188,,,,,,,,,,,,,,,,,,,,,,,,
39,0.002,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00226,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00243,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00263,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00286,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00313,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00343,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00381,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00428,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00481,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00539,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00602,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00671,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00744,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00824,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00908,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00998,,,,,,,,,,,,,,,,,,,,,,,,
57,0.01094,,,,,,,,,,,,,,,,,,,,,,,,
58,0.01187,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0129,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01397,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01508,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01633,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01758,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0189,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02034,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02187,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02359,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02548,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02753,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02982,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03243,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03531,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03841,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04181,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04523,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04896,,,,,,,,,,,,,,,,,,,,,,,,
77,0.05297,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05729,,,,,,,,,,,,,,,,,,,,,,,,
79,0.06196,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06699,,,,,,,,,,,,,,,,,,,,,,,,
81,0.07407,,,,,,,,,,,,,,,,,,,,,,,,
82,0.08176,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08925,,,,,,,,,,,,,,,,,,,,,,,,
84,0.0973,,,,,,,,,,,,,,,,,,,,,,,,
85,0.10541,,,,,,,,,,,,,,,,,,,,,,,,
86,0.11217,,,,,,,,,,,,,,,,,,,,,,,,
87,0.12289,,,,,,,,,,,,,,,,,,,,,,,,
88,0.13359,,,,,,,,,,,,,,,,,,,,,,,,
89,0.14435,,,,,,,,,,,,,,,,,,,,,,,,
90,0.15305,,,,,,,,,,,,,,,,,,,,,,,,
91,0.15494,,,,,,,,,,,,,,,,,,,,,,,,
92,0.16266,,,,,,,,,,,,,,,,,,,,,,,,
93,0.1751,,,,,,,,,,,,,,,,,,,,,,,,
94,0.19097,,,,,,,,,,,,,,,,,,,,,,,,
95,0.21497,,,,,,,,,,,,,,,,,,,,,,,,
96,0.23691,,,,,,,,,,,,,,,,,,,,,,,,
97,0.25895,,,,,,,,,,,,,,,,,,,,,,,,
98,0.26001,,,,,,,,,,,,,,,,,,,,,,,,
99,0.27077,,,,,,,,,,,,,,,,,,,,,,,,
100,0.28927,,,,,,,,,,,,,,,,,,,,,,,,
101,0.30903,,,,,,,,,,,,,,,,,,,,,,,,
102,0.33078,,,,,,,,,,,,,,,,,,,,,,,,
103,0.35411,,,,,,,,,,,,,,,,,,,,,,,,
104,0.37941,,,,,,,,,,,,,,,,,,,,,,,,
105,0.41132,,,,,,,,,,,,,,,,,,,,,,,,
106,0.44402,,,,,,,,,,,,,,,,,,,,,,,,
107,0.47753,,,,,,,,,,,,,,,,,,,,,,,,
108,0.51124,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54635,,,,,,,,,,,,,,,,,,,,,,,,
110,0.58226,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61678,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65025,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68072,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72369,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76366,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80512,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85059,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89254,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93516,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
