Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Residual Standard Select and Ultimate Table - Female Nonsmoker.  Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00122,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00156,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00172,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00192,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00214,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00267,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00297,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0037,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00409,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00499,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00549,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00604,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00656,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00714,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00777,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00845,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00915,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00992,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01076,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0117,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01273,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01387,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01513,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01654,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01815,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01996,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02192,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02407,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02646,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02893,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03164,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03461,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03781,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04134,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04628,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05182,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05724,,,,,,,,,,,,,,,,,,,,,,,,
84,0.06319,,,,,,,,,,,,,,,,,,,,,,,,
85,0.06987,,,,,,,,,,,,,,,,,,,,,,,,
86,0.0757,,,,,,,,,,,,,,,,,,,,,,,,
87,0.08484,,,,,,,,,,,,,,,,,,,,,,,,
88,0.09427,,,,,,,,,,,,,,,,,,,,,,,,
89,0.10421,,,,,,,,,,,,,,,,,,,,,,,,
90,0.11308,,,,,,,,,,,,,,,,,,,,,,,,
91,0.11663,,,,,,,,,,,,,,,,,,,,,,,,
92,0.12494,,,,,,,,,,,,,,,,,,,,,,,,
93,0.13784,,,,,,,,,,,,,,,,,,,,,,,,
94,0.15434,,,,,,,,,,,,,,,,,,,,,,,,
95,0.17488,,,,,,,,,,,,,,,,,,,,,,,,
96,0.19508,,,,,,,,,,,,,,,,,,,,,,,,
97,0.21588,,,,,,,,,,,,,,,,,,,,,,,,
98,0.21788,,,,,,,,,,,,,,,,,,,,,,,,
99,0.22837,,,,,,,,,,,,,,,,,,,,,,,,
100,0.24585,,,,,,,,,,,,,,,,,,,,,,,,
101,0.26942,,,,,,,,,,,,,,,,,,,,,,,,
102,0.29554,,,,,,,,,,,,,,,,,,,,,,,,
103,0.32387,,,,,,,,,,,,,,,,,,,,,,,,
104,0.35491,,,,,,,,,,,,,,,,,,,,,,,,
105,0.38835,,,,,,,,,,,,,,,,,,,,,,,,
106,0.42259,,,,,,,,,,,,,,,,,,,,,,,,
107,0.45763,,,,,,,,,,,,,,,,,,,,,,,,
108,0.49287,,,,,,,,,,,,,,,,,,,,,,,,
109,0.52951,,,,,,,,,,,,,,,,,,,,,,,,
110,0.56695,,,,,,,,,,,,,,,,,,,,,,,,
111,0.603,,,,,,,,,,,,,,,,,,,,,,,,
112,0.638,,,,,,,,,,,,,,,,,,,,,,,,
113,0.67,,,,,,,,,,,,,,,,,,,,,,,,
114,0.7145,,,,,,,,,,,,,,,,,,,,,,,,
115,0.756,,,,,,,,,,,,,,,,,,,,,,,,
116,0.799,,,,,,,,,,,,,,,,,,,,,,,,
117,0.846,,,,,,,,,,,,,,,,,,,,,,,,
118,0.88948,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93363,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
