Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00077,0.00047,0.00034,0.00025,0.00020,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040
1,0.00047,0.00034,0.00025,0.00020,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052
2,0.00034,0.00025,0.00020,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065
3,0.00025,0.00020,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00077
4,0.00020,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00077,0.00086
5,0.00017,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00076,0.00086,0.00093
6,0.00016,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00076,0.00086,0.00092,0.00097
7,0.00015,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00076,0.00086,0.00092,0.00096,0.00098
8,0.00015,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00076,0.00085,0.00091,0.00095,0.00096,0.00096
9,0.00015,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00065,0.00076,0.00085,0.00091,0.00094,0.00095,0.00095,0.00095
10,0.00015,0.00018,0.00023,0.00030,0.00040,0.00052,0.00064,0.00076,0.00084,0.00090,0.00093,0.00093,0.00093,0.00093,0.00093
11,0.00018,0.00023,0.00030,0.00040,0.00052,0.00064,0.00075,0.00084,0.00089,0.00092,0.00092,0.00091,0.00090,0.00091,0.00093
12,0.00023,0.00030,0.00040,0.00052,0.00064,0.00075,0.00084,0.00089,0.00091,0.00090,0.00089,0.00088,0.00089,0.00091,0.00095
13,0.00030,0.00040,0.00052,0.00064,0.00075,0.00083,0.00088,0.00090,0.00089,0.00087,0.00086,0.00086,0.00088,0.00092,0.00098
14,0.00040,0.00052,0.00064,0.00075,0.00083,0.00087,0.00088,0.00087,0.00085,0.00084,0.00084,0.00086,0.00090,0.00095,0.00100
15,0.00052,0.00064,0.00075,0.00082,0.00086,0.00087,0.00085,0.00083,0.00081,0.00081,0.00083,0.00087,0.00092,0.00097,0.00102
16,0.00064,0.00074,0.00082,0.00085,0.00086,0.00084,0.00081,0.00079,0.00078,0.00080,0.00084,0.00089,0.00094,0.00099,0.00106
17,0.00074,0.00081,0.00084,0.00084,0.00082,0.00078,0.00076,0.00076,0.00077,0.00081,0.00086,0.00091,0.00096,0.00103,0.00110
18,0.00080,0.00083,0.00083,0.00080,0.00076,0.00074,0.00073,0.00074,0.00078,0.00083,0.00088,0.00093,0.00099,0.00107,0.00115
19,0.00082,0.00081,0.00077,0.00073,0.00071,0.00070,0.00071,0.00075,0.00080,0.00085,0.00090,0.00096,0.00103,0.00112,0.00120
20,0.00078,0.00075,0.00070,0.00068,0.00067,0.00068,0.00072,0.00076,0.00081,0.00086,0.00093,0.00100,0.00108,0.00116,0.00122
21,0.00071,0.00067,0.00064,0.00063,0.00065,0.00068,0.00073,0.00078,0.00083,0.00089,0.00096,0.00104,0.00112,0.00118,0.00122
22,0.00062,0.00060,0.00059,0.00061,0.00065,0.00069,0.00074,0.00079,0.00086,0.00092,0.00101,0.00109,0.00115,0.00118,0.00121
23,0.00054,0.00055,0.00057,0.00061,0.00065,0.00070,0.00076,0.00082,0.00089,0.00097,0.00105,0.00111,0.00114,0.00117,0.00121
24,0.00048,0.00052,0.00056,0.00061,0.00066,0.00072,0.00078,0.00085,0.00093,0.00101,0.00107,0.00110,0.00113,0.00117,0.00122
25,0.00044,0.00051,0.00057,0.00062,0.00067,0.00074,0.00081,0.00088,0.00096,0.00102,0.00106,0.00109,0.00113,0.00119,0.00127
26,0.00043,0.00051,0.00057,0.00063,0.00069,0.00076,0.00084,0.00092,0.00098,0.00102,0.00105,0.00109,0.00115,0.00122,0.00133
27,0.00043,0.00052,0.00058,0.00065,0.00072,0.00080,0.00087,0.00093,0.00098,0.00101,0.00105,0.00110,0.00118,0.00129,0.00144
28,0.00043,0.00052,0.00059,0.00067,0.00075,0.00082,0.00089,0.00093,0.00097,0.00101,0.00106,0.00114,0.00124,0.00140,0.00157
29,0.00043,0.00053,0.00061,0.00069,0.00077,0.00084,0.00088,0.00092,0.00096,0.00102,0.00110,0.00120,0.00135,0.00152,0.00172
30,0.00044,0.00055,0.00064,0.00072,0.00079,0.00083,0.00087,0.00092,0.00097,0.00105,0.00115,0.00130,0.00147,0.00167,0.00190
31,0.00045,0.00057,0.00066,0.00073,0.00078,0.00082,0.00087,0.00093,0.00100,0.00110,0.00125,0.00141,0.00161,0.00183,0.00209
32,0.00046,0.00059,0.00067,0.00073,0.00077,0.00082,0.00088,0.00096,0.00105,0.00120,0.00136,0.00155,0.00177,0.00202,0.00232
33,0.00048,0.00059,0.00066,0.00071,0.00077,0.00083,0.00091,0.00100,0.00114,0.00130,0.00149,0.00170,0.00195,0.00224,0.00257
34,0.00048,0.00059,0.00065,0.00071,0.00077,0.00085,0.00095,0.00108,0.00124,0.00142,0.00163,0.00188,0.00216,0.00248,0.00285
35,0.00047,0.00058,0.00065,0.00071,0.00080,0.00089,0.00103,0.00118,0.00136,0.00156,0.00180,0.00208,0.00239,0.00275,0.00317
36,0.00046,0.00057,0.00065,0.00073,0.00083,0.00096,0.00112,0.00129,0.00149,0.00172,0.00199,0.00230,0.00265,0.00306,0.00353
37,0.00045,0.00058,0.00067,0.00077,0.00090,0.00105,0.00122,0.00142,0.00164,0.00190,0.00220,0.00255,0.00295,0.00340,0.00393
38,0.00046,0.00059,0.00070,0.00083,0.00098,0.00114,0.00134,0.00156,0.00181,0.00211,0.00245,0.00283,0.00328,0.00379,0.00437
39,0.00047,0.00061,0.00075,0.00090,0.00106,0.00125,0.00147,0.00172,0.00201,0.00234,0.00272,0.00315,0.00365,0.00421,0.00486
40,0.00048,0.00066,0.00081,0.00098,0.00117,0.00138,0.00162,0.00190,0.00222,0.00259,0.00302,0.00350,0.00406,0.00469,0.00541
41,0.00052,0.00071,0.00089,0.00107,0.00128,0.00152,0.00179,0.00211,0.00247,0.00288,0.00335,0.00389,0.00451,0.00521,0.00601
42,0.00056,0.00078,0.00097,0.00118,0.00141,0.00168,0.00199,0.00234,0.00274,0.00320,0.00373,0.00433,0.00502,0.00580,0.00669
43,0.00060,0.00085,0.00106,0.00129,0.00156,0.00186,0.00220,0.00259,0.00304,0.00356,0.00414,0.00481,0.00558,0.00644,0.00743
44,0.00065,0.00092,0.00116,0.00143,0.00172,0.00206,0.00244,0.00288,0.00338,0.00395,0.00460,0.00535,0.00619,0.00716,0.00825
45,0.00071,0.00101,0.00128,0.00158,0.00191,0.00228,0.00271,0.00319,0.00375,0.00439,0.00511,0.00594,0.00688,0.00794,0.00915
46,0.00077,0.00111,0.00141,0.00174,0.00211,0.00253,0.00300,0.00355,0.00417,0.00487,0.00568,0.00659,0.00763,0.00881,0.01015
47,0.00085,0.00123,0.00156,0.00193,0.00234,0.00280,0.00333,0.00394,0.00462,0.00541,0.00630,0.00731,0.00847,0.00977,0.01125
48,0.00093,0.00135,0.00172,0.00213,0.00259,0.00311,0.00369,0.00437,0.00513,0.00600,0.00699,0.00811,0.00938,0.01083,0.01246
49,0.00101,0.00149,0.00190,0.00236,0.00287,0.00344,0.00410,0.00484,0.00569,0.00665,0.00774,0.00899,0.01039,0.01199,0.01379
50,0.00111,0.00164,0.00210,0.00261,0.00317,0.00381,0.00454,0.00536,0.00630,0.00737,0.00858,0.00995,0.01150,0.01326,0.01525
51,0.00122,0.00181,0.00232,0.00288,0.00351,0.00422,0.00503,0.00594,0.00698,0.00816,0.00949,0.01101,0.01273,0.01466,0.01685
52,0.00134,0.00199,0.00257,0.00319,0.00389,0.00467,0.00556,0.00658,0.00772,0.00903,0.01050,0.01217,0.01407,0.01620,0.01862
53,0.00146,0.00219,0.00283,0.00352,0.00430,0.00517,0.00615,0.00727,0.00854,0.00998,0.01161,0.01345,0.01554,0.01789,0.02055
54,0.00160,0.00241,0.00312,0.00389,0.00475,0.00571,0.00680,0.00804,0.00944,0.01103,0.01282,0.01486,0.01715,0.01975,0.02267
55,0.00175,0.00266,0.00344,0.00429,0.00524,0.00631,0.00751,0.00888,0.01043,0.01218,0.01416,0.01640,0.01893,0.02178,0.02499
56,0.00192,0.00292,0.00379,0.00474,0.00579,0.00696,0.00830,0.00980,0.01151,0.01344,0.01562,0.01809,0.02087,0.02401,0.02754
57,0.00209,0.00321,0.00418,0.00522,0.00638,0.00768,0.00915,0.01081,0.01269,0.01482,0.01722,0.01993,0.02300,0.02644,0.03033
58,0.00229,0.00353,0.00460,0.00575,0.00703,0.00847,0.01009,0.01192,0.01399,0.01633,0.01898,0.02196,0.02532,0.02913,0.03339
59,0.00249,0.00387,0.00505,0.00633,0.00774,0.00933,0.01111,0.01313,0.01541,0.01799,0.02089,0.02417,0.02789,0.03206,0.03674
60,0.00272,0.00424,0.00555,0.00696,0.00852,0.01027,0.01224,0.01446,0.01697,0.01980,0.02300,0.02663,0.03070,0.03528,0.04040
61,0.00296,0.00465,0.00610,0.00765,0.00937,0.01130,0.01346,0.01591,0.01867,0.02178,0.02533,0.02931,0.03378,0.03879,0.04439
62,0.00321,0.00509,0.00669,0.00840,0.01030,0.01242,0.01480,0.01749,0.02052,0.02399,0.02788,0.03225,0.03714,0.04263,0.04876
63,0.00349,0.00557,0.00733,0.00922,0.01131,0.01364,0.01627,0.01922,0.02261,0.02641,0.03068,0.03546,0.04082,0.04682,0.05352
64,0.00379,0.00608,0.00803,0.01011,0.01241,0.01498,0.01786,0.02117,0.02489,0.02905,0.03373,0.03897,0.04483,0.05140,0.05872
65,0.00411,0.00664,0.00879,0.01109,0.01361,0.01644,0.01968,0.02331,0.02738,0.03195,0.03707,0.04280,0.04922,0.05639,0.06439
66,0.00445,0.00725,0.00962,0.01214,0.01492,0.01810,0.02166,0.02564,0.03011,0.03511,0.04071,0.04698,0.05400,0.06183,0.07056
67,0.00481,0.00791,0.01052,0.01329,0.01644,0.01993,0.02383,0.02820,0.03308,0.03856,0.04469,0.05155,0.05921,0.06776,0.07729
68,0.00520,0.00862,0.01149,0.01464,0.01809,0.02193,0.02620,0.03099,0.03634,0.04233,0.04903,0.05652,0.06489,0.07421,0.08460
69,0.00561,0.00938,0.01265,0.01612,0.01991,0.02411,0.02880,0.03403,0.03989,0.04644,0.05376,0.06194,0.07107,0.08123,0.09254
70,0.00605,0.01034,0.01393,0.01773,0.02189,0.02649,0.03163,0.03736,0.04376,0.05092,0.05892,0.06784,0.07779,0.08886,0.10117
71,0.00666,0.01138,0.01532,0.01950,0.02405,0.02910,0.03472,0.04099,0.04799,0.05581,0.06453,0.07426,0.08509,0.09715,0.11053
72,0.00734,0.01252,0.01685,0.02142,0.02642,0.03194,0.03809,0.04494,0.05259,0.06112,0.07064,0.08123,0.09303,0.10613,0.12067
73,0.00807,0.01376,0.01852,0.02353,0.02900,0.03505,0.04177,0.04925,0.05760,0.06690,0.07727,0.08881,0.10164,0.11587,0.13165
74,0.00887,0.01513,0.02034,0.02583,0.03182,0.03843,0.04577,0.05394,0.06305,0.07319,0.08448,0.09703,0.11096,0.12642,0.14352
75,0.00975,0.01661,0.02233,0.02834,0.03489,0.04211,0.05013,0.05905,0.06897,0.08001,0.09229,0.10593,0.12106,0.13781,0.15634
76,0.01071,0.01824,0.02450,0.03108,0.03823,0.04613,0.05487,0.06459,0.07540,0.08741,0.10076,0.11557,0.13197,0.15012,0.17015
77,0.01176,0.02001,0.02686,0.03406,0.04188,0.05049,0.06003,0.07061,0.08238,0.09544,0.10993,0.12599,0.14376,0.16338,0.18502
78,0.01290,0.02194,0.02944,0.03730,0.04584,0.05523,0.06562,0.07715,0.08994,0.10412,0.11984,0.13724,0.15646,0.17766,0.20100
79,0.01414,0.02404,0.03224,0.04083,0.05014,0.06038,0.07170,0.08423,0.09812,0.11351,0.13054,0.14936,0.17013,0.19300,0.21814
80,0.01550,0.02633,0.03529,0.04466,0.05482,0.06597,0.07827,0.09189,0.10696,0.12364,0.14207,0.16242,0.18482,0.20946,0.23647

Table # ,2,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Male. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 105,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",105,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00052,,,,,,,,,,,,,,
16,0.00065,,,,,,,,,,,,,,
17,0.00077,,,,,,,,,,,,,,
18,0.00087,,,,,,,,,,,,,,
19,0.00094,,,,,,,,,,,,,,
20,0.00098,,,,,,,,,,,,,,
21,0.00099,,,,,,,,,,,,,,
22,0.00098,,,,,,,,,,,,,,
23,0.00097,,,,,,,,,,,,,,
24,0.00096,,,,,,,,,,,,,,
25,0.00096,,,,,,,,,,,,,,
26,0.00098,,,,,,,,,,,,,,
27,0.00101,,,,,,,,,,,,,,
28,0.00103,,,,,,,,,,,,,,
29,0.00105,,,,,,,,,,,,,,
30,0.00109,,,,,,,,,,,,,,
31,0.00113,,,,,,,,,,,,,,
32,0.00119,,,,,,,,,,,,,,
33,0.00124,,,,,,,,,,,,,,
34,0.00126,,,,,,,,,,,,,,
35,0.00126,,,,,,,,,,,,,,
36,0.00125,,,,,,,,,,,,,,
37,0.00124,,,,,,,,,,,,,,
38,0.00126,,,,,,,,,,,,,,
39,0.00131,,,,,,,,,,,,,,
40,0.00137,,,,,,,,,,,,,,
41,0.00149,,,,,,,,,,,,,,
42,0.00162,,,,,,,,,,,,,,
43,0.00178,,,,,,,,,,,,,,
44,0.00196,,,,,,,,,,,,,,
45,0.00216,,,,,,,,,,,,,,
46,0.00239,,,,,,,,,,,,,,
47,0.00266,,,,,,,,,,,,,,
48,0.00295,,,,,,,,,,,,,,
49,0.00328,,,,,,,,,,,,,,
50,0.00365,,,,,,,,,,,,,,
51,0.00406,,,,,,,,,,,,,,
52,0.00452,,,,,,,,,,,,,,
53,0.00503,,,,,,,,,,,,,,
54,0.00560,,,,,,,,,,,,,,
55,0.00623,,,,,,,,,,,,,,
56,0.00692,,,,,,,,,,,,,,
57,0.00769,,,,,,,,,,,,,,
58,0.00855,,,,,,,,,,,,,,
59,0.00949,,,,,,,,,,,,,,
60,0.01052,,,,,,,,,,,,,,
61,0.01166,,,,,,,,,,,,,,
62,0.01292,,,,,,,,,,,,,,
63,0.01430,,,,,,,,,,,,,,
64,0.01582,,,,,,,,,,,,,,
65,0.01749,,,,,,,,,,,,,,
66,0.01932,,,,,,,,,,,,,,
67,0.02134,,,,,,,,,,,,,,
68,0.02354,,,,,,,,,,,,,,
69,0.02596,,,,,,,,,,,,,,
70,0.02861,,,,,,,,,,,,,,
71,0.03152,,,,,,,,,,,,,,
72,0.03469,,,,,,,,,,,,,,
73,0.03817,,,,,,,,,,,,,,
74,0.04197,,,,,,,,,,,,,,
75,0.04612,,,,,,,,,,,,,,
76,0.05066,,,,,,,,,,,,,,
77,0.05561,,,,,,,,,,,,,,
78,0.06101,,,,,,,,,,,,,,
79,0.06690,,,,,,,,,,,,,,
80,0.07331,,,,,,,,,,,,,,
81,0.08030,,,,,,,,,,,,,,
82,0.08789,,,,,,,,,,,,,,
83,0.09615,,,,,,,,,,,,,,
84,0.10511,,,,,,,,,,,,,,
85,0.11484,,,,,,,,,,,,,,
86,0.12538,,,,,,,,,,,,,,
87,0.13678,,,,,,,,,,,,,,
88,0.14912,,,,,,,,,,,,,,
89,0.16243,,,,,,,,,,,,,,
90,0.17678,,,,,,,,,,,,,,
91,0.19223,,,,,,,,,,,,,,
92,0.20883,,,,,,,,,,,,,,
93,0.22663,,,,,,,,,,,,,,
94,0.24568,,,,,,,,,,,,,,
95,0.26603,,,,,,,,,,,,,,
96,0.28769,,,,,,,,,,,,,,
97,0.31071,,,,,,,,,,,,,,
98,0.33508,,,,,,,,,,,,,,
99,0.36081,,,,,,,,,,,,,,
100,0.39000,,,,,,,,,,,,,,
101,0.43321,,,,,,,,,,,,,,
102,0.50312,,,,,,,,,,,,,,
103,0.61244,,,,,,,,,,,,,,
104,0.77384,,,,,,,,,,,,,,
105,1.00000,,,,,,,,,,,,,,
